representants_id;denomination_affiliation;identifiant_national_affiliation;type_identifiant_national_affiliation
164;UNION FABRIC. PROTECT PROPRIETE INDUST.;784668709;SIREN
164;ARPP AUTORITE DE REGULATION PROFESSIONNELLE DE LA PUBLICITE;307287193;SIREN
166;CONSEIL INTERPROFESSIONNEL DE L OPTIQUE CIO;502259054;SIREN
166;ASS NATIONALE AMELIORATION VUE;784854416;SIREN
166;FILIERE OPTIQUE D'EXCELLENCE;W751231112;RNA
166;LES ENTREPRISES DE L'OPTIQUE OPHTALMIQUE;478576259;SIREN
166;GPT DES INDUSTRIELS ET FABRICANTS  OPTIQUE;784358012;SIREN
166;EDI-OPTIQUE;500707252;SIREN
166;SILMO SAS;444493324;SIREN
166;OPTIQUE SOLIDAIRE;533373684;SIREN
169;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
169;GROUPEMENT DES PROFESSIONS DE SERVICES;477942114;SIREN
169;MEDEF;499438000;SIREN
171;SYNDICAT NATIONAL DE L'EDITION;784285066;SIREN
171;INSTITUT MONTAIGNE;444920318;SIREN
171;UNION FRANCAISE DES METIERS DE L'EVENEMENT;775675929;SIREN
171;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
171;UNION PATRONALE DEPARMENTALE - MEDEF PARIS;398327098;SIREN
171;GROUPT FR DE L'INDUSTRIE DE L'INFORMATIO;318949609;SIREN
171;SYNDICAT DE LA PRESSE CULTURELLE ET SCIENTIFIQUE;H927753417;HATVP
171;SYNDICAT DE LA PRESSE ET DE L'EDITION DES PROFESSIONS DE SANTE;H831662073;HATVP
171;SYNDICAT DE LA PRESSE ECONOMIQUE JURIDIQUE ET POLITIQUE;H974226168;HATVP
172;"COLLECTIF DES ASSOCIATIONS ""UNIES""";W912009064;RNA
172;DOM'ASILE;452536774;SIREN
172;FEDERATION DES ACTEURS DE LA SOLIDARITE;308401090;SIREN
172;UNION NAT INTER OEUVRE PRIVE SANIT SOCIA;775672223;SIREN
172;LE MOUVEMENT ASSOCIATIF;430349100;SIREN
172;UNION NATIONALE DES ORGANISMES FAISANT APPEL AUX GENEROSITES;497918375;SIREN
172;ASS FRANCE BENEVOLAT;452541139;SIREN
172;ASS. COLL LES MORTS DE LA RUE;478100670;SIREN
172;CTRE DE RECHERCH & INFORM POUR LE DVP;335063269;SIREN
172;PARTENARIAT FRANCAIS POUR L'EAU;753506013;SIREN
172;PLATEFORME ONG FRANCAISES PALESTINE;433238037;SIREN
172;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
172;COLLECTIF NATIONAL DROITS DE L HOMME ROMEUROPE;501420889;SIREN
172;RESEAU ACTION CLIMAT FRANCE;422466201;SIREN
173;CONSEIL NATIONAL DES BARREAUX;391576964;SIREN
173;ORDRE DES AVOCATS A LA COUR DE PARIS;302979075;SIREN
173;UNION JEUNE AVOCAT COUR APPEL UJA;784179533;SIREN
173;ASSOCIATION DES AVOCATS LOBBYISTES;W751210486;RNA
173;FEDERATION NATIONALE DES UNIONS DE JEUNES AVOCATS;507501435;SIREN
174;FEDERATION BANCAIRE FRANCAISE;434987582;SIREN
174;ASS FRANCAISE ENTREPRISES INVESTISSEMENT;348036278;SIREN
174;ASS FRANCAISE PROFESSIONNELS DES TITRES;400427910;SIREN
174;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
174;THE FINANCIAL MARKETS ASSOCIATION;400998993;SIREN
174;ICC-FRANCE CONSEIL;418716825;SIREN
174;FEDERATION FRANCAISE DE L ASSURANCE (FFA);784409013;SIREN
174;ASSOC FRANC DES STES FINANC;784669541;SIREN
175;F.N.A.R.;537838203;SIREN
177;LE CERCLE DE L'ARBALETE;808074801;SIREN
177;FEDERATION DES INDUSTRIES DES EQUIPEMENTS POUR VEHICULES;513481564;SIREN
177;SYND PROF FAB FILS CABL ELEC;784668782;SIREN
177;SYND NATION INDUST TECHNOL MEDICALES;307330845;SIREN
177;SYNDICAT DES EQUIPEMENTS DE LA ROUTE;348302514;SIREN
177;SYND NATION MATERIEL ARTICLE PROTECTION;784854234;SIREN
177;AFNOR CERTIFICATION;479076002;SIREN
177;CHAMBRE DE COMMERCE AMERICAINE EN FRANCE - AMERICAN CHAMBER OF COMMERCE IN FRANCE;W751038014;RNA
178;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
178;UNION INDUSTRIES METIERS METALLURGIE;324642933;SIREN
179;JEUNES AGRICULTEURS AUVERGNE RHONE ALPES;387470503;SIREN
180;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
180;ASSOCIATION DES SERVICES INTERNET COMMUNAUTAIRES (ASIC);H472708392;HATVP
180;L'ASSOCIATION DE L'ECONOMIE NUMERIQUE;322387945;SIREN
181;CONFEDERATION GENERALE ALIMENTAT.DETAIL;784717225;SIREN
181;UNION DES ENTREPRISES DE PROXIMITE;349681098;SIREN
182;CITE LANGUE;528185879;SIREN
183;SYND NAT ETS RETRAITE PERSONNES AGEES;440687226;SIREN
184;INSTITUT DE L'ECONOMIE CIRCULAIRE;790867493;SIREN
185;FEDERATION FRANCAISE DE L ASSURANCE (FFA);784409013;SIREN
185;ASSOCIATION DES ASSUREURS MUTUALISTES;822879201;SIREN
185;UNION DES ANNONCEURS;784669533;SIREN
186;FRANCE CHIMIE;784358855;SIREN
186;ASSOCIATION ALLIANCE CHIMIE RECYCLAGE;752862474;SIREN
186;COMITE FRANCAIS DES PLASTIQUES EN AGRICULTURE;309814564;SIREN
186;UNION DES SYNDICATS PLASTURGIE;423552561;SIREN
187;ASSOCIATION FRANCAISE DES CONSEILS EN LOBBYING ET AFFAIRES PUBLIQUES (AFCL);H000000001;HATVP
188;COMITE D'ECHANGES FRANCO JAPONAIS;417678141;SIREN
188;ASS EUROPEEN VEHICULE ELECTRIQ ROUTIERS;381166792;SIREN
188;SOC DES INGENIEURS DE L AUTOMOBILE;352861561;SIREN
188;ASSOCIATION FRANCAISE POUR L'HYDROGENE ET LES PILES A COMBUSTIBLE;419636303;SIREN
188;ASS TEAM LES GALAPIATS;329744858;SIREN
188;FONDATION TUCK;392759460;SIREN
188;TERAGIR;331192690;SIREN
188;LA PREVENTION ROUTIERE;775719792;SIREN
188;FONDATION DE FRANCE;784314908;SIREN
190;MOUVEMENT DES ENTREPRISES DE FRANCE;784668618;SIREN
190;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
194;SYNDICAT SYNTEC RELATIONS PUBLIQUES;419999271;SIREN
196;ASSOCIATION NATIONALE DES LIGUES DE SPORT PROFESSIONNEL;494271935;SIREN
197;ASSOCIATION PROFESSIONNELLE DES EMETTEURS DE TITRES RESTAURANT  APETR;W751228056;RNA
198;SECOURS CATHOLIQUE;775666696;SIREN
199;SYNTEC NUMERIQUE;384719001;SIREN
200;FEDERATION DES PROMOTEURS IMMOBILIERS DE FRANCE;784312332;SIREN
200;FEDERATION SOCIETES IMMOBILIER FONCIERES;784855405;SIREN
200;CONSEIL NATIONAL DES CENTRES COMMERCIAUX;349047373;SIREN
200;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
202;GROUPEMENT INDUSTR FSES AERONAUT SPACIAL;784668394;SIREN
202;GROUPE INDUSTRIE MATERIEL DEFENSE TERRES;344322722;SIREN
202;MOUVEMENT ENTREPRISE FRANCE INTERNATIONA;378236376;SIREN
202;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
202;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
204;HUBSTART PARIS REGION;438236697;SIREN
204;ROISSY DEVELOPPEMENT;484496757;SIREN
204;RESEAU ENTREPRENDRE VAL D OISE;522977099;SIREN
204;PLANET'AIRPORT;W952000029;RNA
