domaines_intervention_actions_menees;activite_id
Ressources minières;248
Industrie agroalimentaire;248
Politique industrielle;249
Impact de l'activité industrielle;249
Ressources minières;249
Industrie agroalimentaire;250
Prévention;251
Médicaments;251
Soins et maladies;251
Système de santé et médico-social;251
Prévention;252
Système de santé et médico-social;252
Prévention;253
Système de santé et médico-social;253
Prévention;254
Système de santé et médico-social;254
Prévention;255
Système de santé et médico-social;255
Education;256
Système de santé et médico-social;256
Système de santé et médico-social;257
Prévention;258
Système de santé et médico-social;258
Logement;259
Brevet;260
Recherche et innovation;260
Brevet;261
Recherche et innovation;261
Brevet;262
Recherche et innovation;262
Brevet;263
Recherche et innovation;263
Brevet;264
Recherche et innovation;264
Brevet;265
Recherche et innovation;265
Education;266
Formation professionnelle;266
Sports;266
Budget;266
Impôts;267
Budget;267
Logement;268
Construction;268
Taxes;269
Impôts;269
Logement;269
Construction;269
Budget;269
Logement;270
Construction;270
Logement;271
Construction;271
Finances;272
Logement;272
Construction;272
Impôts;273
Finances;274
Marchés réglementés;274
Logement;274
Construction;274
Finances;275
Construction;275
Système de santé et médico-social;276
Brevet;277
Politique industrielle;277
Impôts;278
Brevet;278
Politique industrielle;279
Impact de l'activité industrielle;280
Accès à l’Internet;281
Protection des données;281
Marché du numérique;281
E-commerce;281
Recherche et innovation;282
Collectivités territoriales;283
Retraites;284
Déchets;285
Taxes;286
Impôts;286
Budget;287
Produits chimiques;288
Défense;288
Sécurité nationale;288
Droit de la concurrence;289
Formation professionnelle;290
Formation professionnelle;291
Dialogue social;292
Taxes;293
Impôts;293
Collectivités territoriales;293
Déchets;294
Bâtiments et travaux publics;294
Construction;294
Droit de la concurrence;295
PME/TPE;295
Produits chimiques;296
Sécurité nationale;296
Cinéma;297
Système de santé et médico-social;298
Système de santé et médico-social;299
Système de santé et médico-social;300
Système de santé et médico-social;301
Système de santé et médico-social;302
Système de santé et médico-social;303
Système de santé et médico-social;304
Système de santé et médico-social;305
Système de santé et médico-social;306
Système de santé et médico-social;307
Système de santé et médico-social;308
Système de santé et médico-social;309
Système de santé et médico-social;310
Système de santé et médico-social;311
Système de santé et médico-social;312
Système de santé et médico-social;313
Impact de l'activité industrielle;314
Impact de l'activité industrielle;315
Système de santé et médico-social;316
Système de santé et médico-social;317
Impact de l'activité industrielle;318
Prévention;319
Système de santé et médico-social;320
Système de santé et médico-social;321
Banques;322
Education;323
Jeux-vidéo;324
Jeux-vidéo;325
Jeux-vidéo;326
Produits chimiques;327
Politique industrielle;327
Produits chimiques;328
Politique industrielle;328
Normes de production;329
Impôts;330
Droit du travail;331
Impôts;332
Impôts;333
Droit du travail;334
Droit du travail;335
Droit du travail;336
Impôts;337
Normes de production;338
Droit du travail;339
Droit du travail;340
Droit du travail;341
Droit du travail;342
Impôts;343
Impôts;344
Aide au développement;345
Egalité femmes/hommes;345
Droits et libertés fondamentales;346
Aide au développement;346
Education;347
Humanitaire;347
Aide au développement;347
Egalité femmes/hommes;347
Education;348
Formation professionnelle;348
Humanitaire;348
Aide au développement;348
Egalité femmes/hommes;348
Aide au développement;349
Education;350
Formation professionnelle;350
Humanitaire;350
Aide au développement;350
Egalité femmes/hommes;350
Aide au développement;351
Egalité femmes/hommes;351
Agriculture;352
Agriculture;353
Finances;354
Taxes;354
PME/TPE;354
Finances;355
Taxes;355
PME/TPE;355
PME/TPE;356
Formation professionnelle;356
PME/TPE;357
Formation professionnelle;357
PME/TPE;358
Formation professionnelle;358
Formation professionnelle;359
Formation professionnelle;360
Formation professionnelle;361
Formation professionnelle;362
Formation professionnelle;363
Formation professionnelle;364
Formation professionnelle;365
Formation professionnelle;366
Formation professionnelle;367
Finances;368
Assurances;368
Banques;368
PME/TPE;368
Formation professionnelle;369
Finances;370
Assurances;370
Banques;370
PME/TPE;370
Formation professionnelle;371
Finances;372
Assurances;372
Banques;372
PME/TPE;372
Formation professionnelle;373
Formation professionnelle;374
Formation professionnelle;375
Dialogue social;376
Finances;377
Taxes;377
PME/TPE;377
Finances;378
Taxes;378
PME/TPE;378
Finances;379
Taxes;379
PME/TPE;379
Finances;380
Taxes;380
PME/TPE;380
Finances;381
PME/TPE;381
Aides aux entreprises;381
Dialogue social;382
Collectivités territoriales;382
Finances;383
Taxes;383
PME/TPE;383
Finances;384
Taxes;384
PME/TPE;384
Droit du travail;385
Formation professionnelle;385
Dialogue social;386
Collectivités territoriales;386
PME/TPE;387
Formation professionnelle;387
Collectivités territoriales;387
Finances;388
Taxes;388
PME/TPE;388
PME/TPE;389
Formation professionnelle;389
Finances;390
PME/TPE;390
Aides aux entreprises;390
Finances;391
PME/TPE;391
Aides aux entreprises;391
Finances;392
PME/TPE;392
Aides aux entreprises;392
Retraites;393
Finances;394
PME/TPE;394
Aides aux entreprises;394
Dialogue social;395
PME/TPE;395
Formation professionnelle;395
Finances;396
PME/TPE;396
Aides aux entreprises;396
PME/TPE;397
Education;397
Formation professionnelle;397
Finances;398
PME/TPE;398
Aides aux entreprises;398
Dialogue social;399
Collectivités territoriales;399
Dialogue social;400
Collectivités territoriales;400
Taxes;401
PME/TPE;401
Budget;401
Dialogue social;402
Formation professionnelle;402
Dialogue social;403
Collectivités territoriales;403
Dialogue social;404
Collectivités territoriales;404
Taxes;405
PME/TPE;405
Budget;405
Dialogue social;406
Formation professionnelle;406
Budget;407
Taxes;408
PME/TPE;408
Budget;408
Dialogue social;409
Formation professionnelle;409
Dialogue social;410
Droit du travail;410
Dialogue social;411
Collectivités territoriales;411
Dialogue social;412
Droit du travail;412
Dialogue social;413
Collectivités territoriales;413
Dialogue social;414
Collectivités territoriales;414
Taxes;415
PME/TPE;415
Budget;415
Taxes;416
PME/TPE;416
Budget;416
Dialogue social;417
Collectivités territoriales;417
Dialogue social;418
Collectivités territoriales;418
Dialogue social;419
Collectivités territoriales;419
Dialogue social;420
Collectivités territoriales;420
Dialogue social;421
Collectivités territoriales;421
Dialogue social;422
Collectivités territoriales;422
Finances;423
Taxes;423
PME/TPE;423
Collectivités territoriales;423
Budget;423
PME/TPE;424
Formation professionnelle;424
Recherche et innovation;424
Budget;424
Dialogue social;425
Collectivités territoriales;425
Dialogue social;426
Collectivités territoriales;426
Dialogue social;427
Collectivités territoriales;427
Taxes;428
PME/TPE;428
Budget;428
Taxes;429
PME/TPE;429
Budget;429
Taxes;430
PME/TPE;430
Budget;430
Dialogue social;431
Droit du travail;431
Dialogue social;432
Collectivités territoriales;432
Dialogue social;433
Collectivités territoriales;433
Dialogue social;434
Collectivités territoriales;434
Taxes;435
PME/TPE;435
Collectivités territoriales;435
Budget;435
Dialogue social;436
Collectivités territoriales;436
Enseignement supérieur;437
Logement;438
Construction;438
Déchets;439
Déchets;440
Droit du travail;441
Transports alternatifs;441
Transports alternatifs;442
PME/TPE;443
Déchets;443
Sports;443
Politique industrielle;443
Impact de l'activité industrielle;443
Transports alternatifs;444
Aides aux entreprises;445
Sports;445
Budget;445
Transports alternatifs;446
Budget;446
Aides aux entreprises;447
Sports;447
Budget;447
Bâtiments et travaux publics;448
Sports;448
Budget;448
Droit de la concurrence;449
Sports;449
Politique industrielle;449
Accords internationaux;449
Taxes;450
PME/TPE;450
Sports;450
Politique industrielle;450
Collectivités territoriales;450
Dialogue social;451
PME/TPE;451
Droit du travail;451
Aides aux entreprises;451
Sports;451
Dialogue social;452
PME/TPE;452
Droit du travail;452
Aides aux entreprises;452
Formation professionnelle;452
PME/TPE;453
Education;453
Prévention;453
Sports;453
Collectivités territoriales;453
PME/TPE;454
Politique industrielle;454
Impact de l'activité industrielle;454
Développement des territoires;454
Accords internationaux;454
PME/TPE;455
Sports;455
Politique industrielle;455
Transports alternatifs;455
Budget;455
Sécurité routière;456
Sécurité routière;457
Droit du travail;458
Formation professionnelle;458
Politique industrielle;459
Dialogue social;460
Droit du travail;460
Droit du travail;461
Déchets;462
Déchets;463
Dialogue social;464
Droit du travail;464
Droit du travail;465
Formation professionnelle;465
Dialogue social;466
Droit du travail;466
Droit du travail;467
Formation professionnelle;467
Taxes;468
Principe de précaution;469
Taxes;470
Impôts;470
Politique industrielle;470
Budget;470
Dialogue social;471
Droit du travail;471
Impact de l'activité industrielle;472
Agriculture;473
Impôts;474
Agriculture;474
Justice civile;475
Agriculture;476
Agriculture;477
Taxes;478
Agriculture;479
Agriculture;480
Agriculture;481
Agriculture;482
Droit du travail;483
Agriculture;484
Impôts;485
Retraites;486
Energies renouvelables;487
Agriculture;487
Chasse;488
Agriculture;488
Chasse;489
Agriculture;489
Agriculture;490
Chasse;491
Agriculture;491
Agriculture;492
Agriculture;493
Agriculture;494
Agriculture;495
Agriculture;496
Développement des territoires;497
Agriculture;497
Qualité de l'eau;498
Agriculture;498
Produits chimiques;499
Agriculture;499
Accords internationaux;499
Retraites;500
Développement des territoires;500
Agriculture;500
Transport de voyageurs;501
Transport de fret;502
Infrastructures;503
Transport de fret;504
Transport de voyageurs;505
Transport de fret;506
Infrastructures;506
Transport de fret;507
Transport de voyageurs;507
Infrastructures;507
Transport de fret;508
Transport de fret;509
Transport de fret;510
Transport de voyageurs;510
Transport de voyageurs;511
Transport de fret;512
Transport de voyageurs;512
Transport de fret;513
Transport de voyageurs;514
Transport de fret;515
Transport de fret;516
Infrastructures;516
Transport de fret;517
Transport de fret;518
Infrastructures;519
Transport de voyageurs;520
Transport de fret;521
Transport de voyageurs;521
Infrastructures;521
Transport de fret;522
Transport de voyageurs;522
Infrastructures;522
Infrastructures;523
Transport de fret;524
Transport de voyageurs;524
Transport de fret;525
Transport de voyageurs;525
Aides aux entreprises;526
Aide au développement;527
Budget;527
Education;528
Partenariats public/privé;528
Aide au développement;528
Egalité femmes/hommes;528
Budget;528
Institutions européennes;529
Aide au développement;529
Budget;529
Partenariats public/privé;530
Institutions européennes;530
Soins et maladies;530
Système de santé et médico-social;530
Budget;530
Aide au développement;531
Budget;531
Aide au développement;532
Budget;532
Institutions européennes;533
Aide au développement;533
Budget;533
Education;534
Aide au développement;534
Egalité femmes/hommes;534
Budget;534
Aide au développement;535
Budget;535
Aide au développement;536
Budget;536
Aide au développement;537
Budget;537
Politique industrielle;538
Politique industrielle;539
Accès à la culture;540
Education;540
Patrimoine;540
Recherche et innovation;540
Humanitaire;540
Partenariats public/privé;541
Politique industrielle;541
Sécurité et normes alimentaires;541
Industrie agroalimentaire;541
Pêche;541
Droit du travail;542
Soins et maladies;542
Système de santé et médico-social;542
Industrie agroalimentaire;542
Soins et maladies;543
Industrie agroalimentaire;543
Déchets;544
Impact de l'activité industrielle;544
Remboursements;545
Prévention;545
Médicaments;545
Soins et maladies;545
Système de santé et médico-social;545
Moralisation/Transparence;546
Collectivités territoriales;546
Ordre administratif;546
Transport de voyageurs;547
Impact des transports individuels;547
Impact des transports marchands et collectifs;547
Politique industrielle;548
Sécurité et normes alimentaires;548
Appellations;548
Industrie agroalimentaire;548
Agriculture;548
Remboursements;549
Prévention;549
Médicaments;549
Soins et maladies;549
Système de santé et médico-social;549
Prévention;550
Soins et maladies;550
Système de santé et médico-social;550
Occupation des sols;551
Prévention;552
Soins et maladies;552
Système de santé et médico-social;552
Produits chimiques;553
Accès à la culture;554
Spectacle vivant;554
Patrimoine;554
Aide au développement;554
Budget;554
Recherche et innovation;555
Occupation des sols;556
Soins et maladies;557
Système de santé et médico-social;557
Politique industrielle;558
Impact de l'activité industrielle;558
Recherche et innovation;558
Politique industrielle;559
Prévention;560
Politique industrielle;561
Politique industrielle;562
Soins et maladies;563
Aide au développement;564
Impôts;565
PME/TPE;565
Partenariats public/privé;565
Recherche et innovation;565
Impôts;566
PME/TPE;566
Education;566
Partenariats public/privé;566
Recherche et innovation;566
PME/TPE;567
Accès à la culture;567
Education;567
Recherche et innovation;567
Humanitaire;567
Construction;568
Déchets;569
Bâtiments et travaux publics;570
Budget;571
Déchets;572
PME/TPE;573
PME/TPE;574
Droit de la concurrence;575
Impôts;575
PME/TPE;575
Droit du travail;575
Droit de la concurrence;576
Impôts;576
PME/TPE;576
Droit du travail;576
Sécurité et normes alimentaires;576
PME/TPE;577
PME/TPE;578
Développement des territoires;578
Droit de la concurrence;579
Impôts;579
PME/TPE;579
Droit du travail;579
Développement des territoires;579
Finances;580
Taxes;580
PME/TPE;580
PME/TPE;581
Droit de la concurrence;582
Impôts;582
PME/TPE;582
Droit du travail;582
Sécurité et normes alimentaires;582
Droit de la concurrence;583
Impôts;583
PME/TPE;583
Formation professionnelle;583
Développement des territoires;583
PME/TPE;584
Aides aux entreprises;584
Formation professionnelle;584
Sécurité et normes alimentaires;584
Développement des territoires;584
Education;585
Prévention;585
Fonction publique;585
Agriculture;586
Taxes;587
Sports;587
Agriculture;587
Agriculture;588
Sécurité routière;588
Agriculture;589
Agriculture;590
Sécurité routière;590
Bien-être animal;591
Agriculture;591
Taxes;592
Agriculture;592
Bâtiments et travaux publics;593
Logement;593
Construction;593
Accidents et catastrophes naturelles;593
Bâtiments et travaux publics;594
Logement;594
Construction;594
Accidents et catastrophes naturelles;594
Bâtiments et travaux publics;595
Logement;595
Construction;595
Accidents et catastrophes naturelles;595
Bâtiments et travaux publics;596
Logement;596
Construction;596
Accidents et catastrophes naturelles;596
Bâtiments et travaux publics;597
Logement;597
Construction;597
Bâtiments et travaux publics;598
Logement;598
Construction;598
Accidents et catastrophes naturelles;598
Bâtiments et travaux publics;599
Logement;599
Construction;599
Accidents et catastrophes naturelles;599
Bâtiments et travaux publics;600
Logement;600
Construction;600
Accidents et catastrophes naturelles;600
Bâtiments et travaux publics;601
Logement;601
Construction;601
Accidents et catastrophes naturelles;601
Bâtiments et travaux publics;602
Logement;602
Construction;602
Accidents et catastrophes naturelles;602
Energies renouvelables;603
Déchets;604
Impact de l'activité industrielle;604
Industrie agroalimentaire;604
Médicaments;605
Système de santé et médico-social;605
Recherche et innovation;605
Prévention;606
Soins et maladies;606
Système de santé et médico-social;606
Taxes;607
Marché du numérique;607
E-commerce;608
Taxes;609
E-commerce;609
Prévention;610
Soins et maladies;610
Système de santé et médico-social;610
E-commerce;611
Industrie agroalimentaire;612
Taxes;613
Impôts;613
E-commerce;614
E-commerce;615
Sécurité et normes alimentaires;616
Industrie agroalimentaire;616
Dialogue social;617
Droit du travail;617
Industrie agroalimentaire;618
Sécurité et normes alimentaires;619
Industrie agroalimentaire;619
Industrie agroalimentaire;620
Agriculture;620
Remboursements;621
Système de santé et médico-social;621
PME/TPE;622
Partenariats public/privé;622
Développement économique des outre-mer;622
Marché du numérique;622
E-commerce;622
PME/TPE;623
Développement économique des outre-mer;623
Services postaux;623
Marché du numérique;623
E-commerce;623
Marché du numérique;624
E-commerce;624
Transports alternatifs;625
Système de santé et médico-social;626
Energies renouvelables;627
Energies renouvelables;628
E-commerce;629
Prévention;630
Médicaments;630
Soins et maladies;630
Système de santé et médico-social;630
Taxes;631
Politique industrielle;631
Industrie agroalimentaire;631
Prévention;632
Médicaments;632
Système de santé et médico-social;632
PME/TPE;633
Services postaux;633
Marché du numérique;633
E-commerce;633
Droit de la concurrence;634
PME/TPE;634
Droit d'auteur;634
Marché du numérique;634
E-commerce;634
PME/TPE;635
Partenariats public/privé;635
Marché du numérique;635
E-commerce;635
PME/TPE;636
Aides aux entreprises;636
Partenariats public/privé;636
E-commerce;636
Taxes;637
PME/TPE;637
Taxation;637
Marché du numérique;637
E-commerce;637
PME/TPE;638
Partenariats public/privé;638
Marché du numérique;638
E-commerce;638
Energies renouvelables;639
Prévention;640
Système de santé et médico-social;640
Impact de l'activité industrielle;641
Aide au développement;641
Agriculture;641
Impact des transports individuels;642
Transports alternatifs;642
Infrastructures;642
Agriculture;643
Agriculture;644
Agriculture;645
Agriculture;646
Agriculture;647
Agriculture;648
Agriculture;649
Agriculture;650
Agriculture;651
Agriculture;652
Agriculture;653
Agriculture;654
Agriculture;655
Formation professionnelle;656
Sécurité et normes alimentaires;656
Industrie agroalimentaire;656
Développement des territoires;656
Agriculture;656
Développement des territoires;657
Agriculture;657
Normes de production;658
Sécurité et normes alimentaires;658
Industrie agroalimentaire;658
Agriculture;658
Accords internationaux;658
Formation professionnelle;659
Industrie agroalimentaire;659
Développement des territoires;659
Agriculture;659
Développement des territoires;660
Agriculture;660
Normes de production;661
Sécurité et normes alimentaires;661
Industrie agroalimentaire;661
Agriculture;661
Accords internationaux;661
Occupation des sols;662
Construction;662
Développement des territoires;662
Industrie agroalimentaire;663
Agriculture;663
Industrie agroalimentaire;664
Agriculture;664
Droit de la concurrence;665
Industrie agroalimentaire;665
PME/TPE;666
Industrie agroalimentaire;666
Agriculture;666
Protection des données;667
Marché du numérique;667
Liberté d’expression et d’information;668
Protection des données;669
Accès à l’Internet;670
Education;670
Jeux-vidéo;670
Musique;670
Marché du numérique;670
Agriculture;671
Dialogue social;672
Droit du travail;672
Agriculture;672
Qualité de l'eau;673
Eaux;673
Développement des territoires;673
Agriculture;673
Développement des territoires;674
Agriculture;674
Agriculture;675
Qualité de l'eau;676
Agriculture;676
Eaux;677
Agriculture;677
Agriculture;678
Agriculture;679
Droit du travail;680
Agriculture;680
Développement des territoires;681
Agriculture;681
Agriculture;682
Chasse;683
Agriculture;683
Agriculture;684
Qualité de l'eau;685
Eaux;685
Développement des territoires;685
Agriculture;685
Aides aux entreprises;686
Bien-être animal;686
Développement des territoires;686
Agriculture;686
Agriculture;687
Agriculture;688
Agriculture;689
Agriculture;690
Sécurité et normes alimentaires;691
Agriculture;691
Accords internationaux;691
Agriculture;692
Chasse;693
Développement des territoires;693
Agriculture;693
Eaux;694
Agriculture;694
Education;695
Politique industrielle;696
Industrie agroalimentaire;697
Industrie agroalimentaire;698
Médicaments;699
Soins et maladies;699
Agriculture;699
Energies fossiles;699
Industrie aérospatiale;699
Médicaments;700
Soins et maladies;700
Agriculture;700
Energies fossiles;700
Industrie aérospatiale;700
Agriculture;701
Agriculture;702
Agriculture;703
Agriculture;704
Développement des territoires;705
Agriculture;705
Agriculture;706
Agriculture;707
Dépollution;708
Déchets;708
Logement;709
Taxes;710
Impôts;710
Médicaments;711
Prévention;712
Soins et maladies;712
Système de santé et médico-social;712
Médicaments;713
Logement;714
Taxes;715
Soins et maladies;716
Système de santé et médico-social;716
Taxes;717
Justice pénale;717
Justice pénale;718
Taxes;719
Prévention;720
Industrie agroalimentaire;721
Agriculture;721
Accès à la culture;722
Taxes;723
Impôts;723
Aides aux entreprises;723
Marchés réglementés;723
Développement des territoires;723
Brevet;724
Recherche et innovation;724
Assurances;725
Protection des données;726
Marché du numérique;726
Impôts;727
Brevet;727
Protection des données;728
Finances;729
Liberté d’expression et d’information;730
Finances;731
Assurances;731
Liberté d’expression et d’information;732
Presse écrite;732
Education;733
Formation professionnelle;733
Handicap;733
Recherche et innovation;733
Enseignement supérieur;733
Soins et maladies;734
Système de santé et médico-social;734
Sécurité et normes alimentaires;735
Industrie agroalimentaire;735
Agriculture;735
Recherche et innovation;736
Marché du numérique;736
Brevet;737
Recherche et innovation;737
Finances;738
Dépollution;739
Déchets;739
Retraites;740
Recherche et innovation;740
Industrie agroalimentaire;741
