action_representation_interet_id;activite_id;observation
95;95;"La pluviométrie importante que nous avons connue depuis le début de l’année jusque mi-avril a retardé de façon importante les chantiers d’épandage d’effluents d’élevage. Les entrepreneurs sont désormais en difficulté pour épandre les fumiers et lisiers dans un temps réduit. Le matériel d’épandage disponible dans les entreprises ne permettra pas de réaliser ces chantiers dans des délais acceptables pour les semis de printemps.
C’est pourquoi nous vous demandons, par dérogation aux règles existantes de permettre des épandages aux dates suivantes :
-	Samedi 28 avril,
-	Mardi 1er mai,
-	Samedi 5 mai,
-	Mardi 8 mai,
-	Samedi 12 mai.
-	Samedi 19 mai
-	Lundi 21 mai"
96;96;Rencontre avec des parlementaires des départements 44 - 49 -53 et 72, pour exposer les difficultés de la profession : suppression du CICE, suppression des TO-DE, hausse du GNR, restrictions des périodes d’épandage, interdiction du taillage des haies, …
97;97;
98;98;
99;99;
100;100;
101;101;
102;102;
103;103;
104;104;
105;105;
106;106;
107;107;
108;108;
109;109;
110;110;
111;111;
112;112;
113;113;
114;114;
115;115;
116;116;
117;117;
118;118;
119;119;
120;120;
121;121;
122;122;
123;123;
124;124;
125;125;
126;126;
127;127;
128;128;
129;129;Dans le cadre défini par la liste annexée au décret n°2017-867 du 9 mai 2017, aucun type de décisions publiques n'est concerné.
130;130;Dans le cadre défini par la liste annexée au décret n° 2017-867 du 9 mai 2017, aucun type de décisions publiques n’est concerné.
131;131;
132;132;
133;133;
134;134;diffusion du cahier : état des lieux et propositions de solutions
135;135;courriers, emails
136;136;
137;137;
138;138;
139;139;
140;140;
141;141;10/01/2018
142;142;
143;143;07/02/2018
144;144;07/03/2018
145;145;10/01/2018
146;146;
147;147;
148;148;
149;149;
150;150;
151;151;
152;152;
153;153;
154;154;
155;155;
156;156;
157;157;
158;158;
159;159;
160;160;
161;161;
162;162;
163;163;
164;164;
165;165;
166;166;
167;167;
168;168;
169;169;
170;170;12/07/2017
171;171;12/10/2017
172;172;06/11/2017
173;173;14/09/2017
174;174;07/12/2017
175;175;13/10/2017
176;176;13/07/2017
177;177;
178;178;Promotion et présentation du projet Montagne d'Or (projet d’exploitation minière d’une concession aurifère de l’Ouest de la Guyane française)
179;179;Promotion et présentation du projet Montagne d'Or (projet d’exploitation minière d’une concession aurifère de l’Ouest de la Guyane française)
180;180;
181;181;
182;182;
183;183;
184;184;
185;185;
186;186;
187;187;
188;188;
189;189;
190;190;
191;191;
192;192;
193;193;
194;194;
195;195;
196;196;
197;197;
198;198;
199;199;
200;200;
201;201;
202;202;
203;203;
204;204;
205;205;
206;206;
207;207;
208;208;
209;209;
210;210;
211;211;
212;212;
213;213;
214;214;
215;215;
216;216;
217;217;
218;218;
219;219;
220;220;
221;221;
222;222;
223;223;
224;224;
225;225;
226;226;
227;227;
228;228;
229;229;
230;230;
231;231;
232;232;
233;233;
234;234;
235;235;
236;236;
237;237;
238;238;"Construction et diffusion de contenus pour le Guide d'application de l'Arrêté du 2 juillet
2018"
239;239;
240;240;
241;241;
242;242;
243;243;
244;244;
245;245;
246;246;
247;247;
248;248;
249;249;
250;250;
251;251;
252;252;
253;253;
254;254;
255;255;
256;256;
257;257;
258;258;
259;259;Actions menées dans le cadre de la loi de finances. Le thème, les avantages fiscaux accordés aux investisseurs privilégiant les investissements dans les monuments historiques.
260;260;
261;261;
262;262;
263;263;
264;264;
265;265;
266;266;
267;267;Plusieurs réunions avec des conseillers du Ministre de l'économie et des finances et du Premier Ministre, ainsi que des entretiens téléphoniques avec un député pour obtenir une modification des dispositions du code général des impôts, afin que les fonds d'investissement en immobilier non cotés (SCPI et OPCI) soient sortis du champ d'application de l'IFI.
268;268;"Plusieurs réunions avec des conseillers ministériels du ministère de l'économie et des finances et entretiens téléphoniques avec des députés dans le cadre de la préparation d’amendements au projet de loi PACTE pour obtenir une modification des dispositions du code monétaire et financier afin que la SCPI puisse investir dans des sociétés commerciales et dans des sociétés détenant des participations dans d'autres sociétés. Envoi d’amendements au projet de loi PACTE au cabinet du ministre de l'économie et des finances et à des députés pour obtenir une modification des dispositions du code monétaire et financier dans ce sens.
"
269;269;Plusieurs réunions aux ministères de l'économie et des finances, et du logement, et entretiens téléphoniques avec un député pour obtenir une modification des dispositions du code général des impôts afin que le régime fiscal du « logement intermédiaire » soit entendu au bénéfice des fonds comptant des investisseurs personnes physiques.
270;270;Plusieurs entretiens téléphoniques avec un conseiller au ministère de l'économie et des finances et plusieurs réunions avec les membres du Comité du Label ISR pour obtenir une modification des dispositions du référenciel du label ISR afin qu'il soit adapté aux spécificités des fonds d'investissement en immobilier.
271;271;"Plusieurs réunions au ministère de l'économie et des finances avec des conseillers ministériels et entretiens téléphoniques avec des députés dans le cadre de la préparation d’amendements au projet de loi PACTE pour obtenir une modification des dispositions du code monétaire et financier afin que la SCPI puisse détenir à titre accessoire des meubles attachés à l’exploitation des immeubles. Envoi d’amendements au projet de loi PACTE au cabinet du ministre de l'économie et des finances et à des députés pour obtenir une modification des dispositions du code monétaire et financier dans ce sens.
"
272;272;Plusieurs réunions avec des conseillers du ministre du logement et du ministère de l'action et des comptes publics, ainsi que des entretiens téléphoniques avec des députés dans le cadre de la préparation d'une réforme du financement du logement par l'épargne des ménages via les fonds d'investissement en immobilier
273;273;
274;274;
275;275;
276;276;
277;277;Pas de décisions ou d'actions menées, il s'agissait d'une rencontre à la demande du Ministre des Finances. il n'y a pas eu de suite 
278;278;Aucune actions ou décisions n'ont été menées/prises- il s'agissait de discussion 
279;279;il n'y a pas eu de se suite à cet envoi de mail
280;280;Aucune suite donnée. il n'y a pas eu d'autres échanges ni d'autres rdv . Prise de Contact par Domitille Fafin 
281;281;
282;282;
283;283;
284;284;
285;285;
286;286;
287;287;
288;288;
289;289;
290;290;
291;291;
292;292;
293;293;
294;294;
295;295;
296;296;
297;297;
298;298;
299;299;
300;300;
301;301;
302;302;
303;303;
304;304;
305;305;
306;306;
307;307;
308;308;
309;309;
310;310;
311;311;
312;312;Courrier ayant donné suite à un échange de mails et à la fixation d'un rendez-vous en mai 2018
313;313;Demande laissée sans suite
314;314;Visite du site de production en présence du député de la circonscription. Le Sous-préfet a été invité mais n'a pas donné suite
315;315;Visite de l'usine avec Monsieur le Sous-préfet
316;316;Discussion informelle avec la DG du CHU et le Directeur des Achats
317;317;
318;318;Manifestation organisée par Medtronic France pour le 70e anniversaire de son site de production à Pont de Claix et présence d'élus locaux
319;319;
320;320;
321;321;
322;322;Organisation prévisionnelle de rencontres en complément de la publication de rapports parlementaires.
323;323;
324;324;
325;325;
326;326;
327;327;
328;328;
329;329;
330;330;
331;331;
332;332;
333;333;
334;334;
335;335;
336;336;
337;337;
338;338;
339;339;
340;340;
341;341;
342;342;
343;343;
344;344;
345;345;audition de Coordination SUD par les commissions des affaires étrangères de l'Assemblée et du Sénat
346;346;
347;347;RDV à Elysee au nom de la Coalition Education, le 17/09/2018, avec le Président, des Ministres et conseillers, en présence d'autres acteurs de la société civile + RDV 18/04/2019 avec Jean-Marc Chataigner, ambassadeur France pour le Sahel, au nom de la Coalition Education
348;348;Panéliste dans le cadre de 2 conférences organisées par le MEAE, en présence de JB Lemoyne (8 mars et juin 2018) + participation à réunion Elysee-OSC sur G7 avec Secrétaire général et Conseiller diplomatique de la Présidence de la République 
349;349;Rencontre du 1er conseiller de l'ambassade de France en Inde pour lui présenter l'action de notre ONG en Inde
350;350;Actions menées au nom de la Coalition Education, collectif de plaidoyer, sans personnalité juridique, dont nous sommes membres.
351;351;La Ministre des Sports a laissé symboliquement sa place à une jeune leader sénégalaise (partenaire de Plan International France), à l'occasion de la journée internationale pour les droits des filles, pour un échange avec les membres de son cabinet puis a échangé de manière informelle avec elle.
352;352;RAS
353;353;
354;354;
355;355;
356;356;
357;357;
358;358;
359;359;
360;360;
361;361;
362;362;
363;363;
364;364;
365;365;
366;366;
367;367;
368;368;
369;369;
370;370;
371;371;
372;372;
373;373;
374;374;
375;375;
376;376;
377;377;
378;378;
379;379;
380;380;
381;381;
382;382;
383;383;
384;384;
385;385;
386;386;
387;387;
388;388;
389;389;
390;390;
391;391;
392;392;
393;393;
394;394;
395;395;
396;396;
397;397;
398;398;
399;399;
400;400;
401;401;
402;402;
403;403;
404;404;
405;405;
406;406;
407;407;
408;408;
409;409;
410;410;
411;411;
412;412;
413;413;
414;414;
415;415;
416;416;
417;417;
418;418;
419;419;
420;420;
421;421;
422;422;
423;423;
424;424;
425;425;
426;426;
427;427;
428;428;
429;429;
430;430;
431;431;
432;432;
433;433;
434;434;
435;435;
436;436;
437;437;
438;438;Membre de cabinets ministériels, Députés, Sénateurs
439;439;Les actions menées ont eu pour objet essentiel de permettre l’avancée de la procédure de Sortie de Statut Déchet (SSD) nécessaire pour l'emploi des pneus recyclés en combustible alternatif et ont inscrit les premiers échanges relatifs à la procédure d'agrément telle que prévue (art. 89 Loi ESS 31/07/2014 et art. L. 541-10-8 Code Environnement)..
440;440;Les actions menées ont eu pour objet essentiel de permettre l’avancée de la procédure de Sortie de Statut Déchet (SSD) nécessaire pour l'emploi des pneus recyclés en combustible alternatif et la mise en valeur des actions menées par la filière pour l’élimination des stocks orphelins.
441;441;Cette mesure a fait l'objet d'un amendement lors de la 1ère lecture de la LOM au Sénat en mars 2019. 
442;442;Ce report a fait l'objet d'amendement lors de la 1ère lecture de la LOM au Sénat en mars 2019. 
443;443;
444;444;L'exclusion des vélos enfants a fait l'objet d'amendements adoptés lors de la 1ère lecture de la LOM au Sénat en mars 2019. 
445;445;
446;446;Le bonus écologique à l'achat de VAE avait été modifié dans le cadre du PLF 2017 renforçant les conditions d'obtention de cette prime. 
447;447;
448;448;
449;449;Il s'agit de demander des informations quant à la position française sur des accords soumis au vote au Conseil de l'Union européenne et au Parlement européen. 
450;450;Actions de promotion générales du secteur sur les équipements sportifs, la montagne, l'univers du vélo, la pratique sportive fitness, etc.
451;451;
452;452;
453;453;"La promotion (rendez-vous, réunions d'échange élus/entreprises, transmission d'études sur les attentes/habitudes des pratiquants) de l'activité physique et sportives s'inscrit dans l'objectif gouvernemental d'augmenter de 3 millions le nombre de pratiquants. Les publics ciblés par les potentielles mesures: enfants, adolescents, actifs, femmes, seniors, personnes en situation de handicap ou de maladie chronique. Plusieurs leviers d'actions: sport en entreprise (sensibilisation aux obstacles juridiques/réglementaire type requalification URSSAF), ""chèque sport"", schémas directeurs des équipements sportifs, sport féminin, sport-santé dont sport sur ordonnance, etc.). "
454;454;"La France a un savoir-faire industriel et d’innovation à promouvoir sur le territoire national et international, particulièrement dans la perspective des JO 2024. Constat: le sport est créateur d’emplois, pour certains non délocalisables, et dynamise le développement économique des territoires (production et distribution, services). Par exemple, concernant les équipements sportifs de proximité, l’UNION plaide pour la prolongation du plan Héritage 2024 avec des financements adéquats pour soutenir les collectivités. Autre exemple: la spécificité du secteur Montagne (attractivité, tourisme, formation, emplois).
Outils: rendez-vous de prise de contacts, courriers, observatoires du marché, etc.)."
455;455;Dans le cadre des Assises nationale de la mobilité, du Plan Vélo et du projet de loi d'orientation des mobilités, sensibilisation des élus sur la nécessité de définir une stratégie nationale pour le vélo et les mobilités. Les positions de l'UNION sont publiques (https://www.assisesdelamobilite.gouv.fr/participer/cahiers-dacteurs). Outils de sensibilisation: transmission d'études/analyses sur les bénéfices écologiques, sanitaires et économiques (emplois de la filière industrielle, politique commerciale, innovation de service, revitalisation des centre-villes, tourisme). Mesures souhaitées: infrastructures, incitations financières (bonus à l'achat de VAE), apprentissage scolaire, etc.).
456;456;
457;457;
458;458;
459;459;
460;460;
461;461;
462;462;
463;463;
464;464;
465;465;
466;466;
467;467;
468;468;
469;469;
470;470;
471;471;
472;472;
473;473;
474;474;
475;475;
476;476;
477;477;
478;478;
479;479;
480;480;
481;481;
482;482;
483;483;
484;484;
485;485;"Décret
Le Volume Complémentaire Individuel est un système de mise en réserve, qui permet aux producteurs qui l’utilisent d’avoir un volume individuel disponible pouvant être utilisé ultérieurement en cas de récolte déficiente. C’est un outil de régulation des volumes mis sur le marché pour éviter une offre de vins de Chablis en dent de scie, maîtriser les prix et sécuriser la viabilité des exploitations viticoles. "
486;486;
487;487;
488;488;
489;489;
490;490;
491;491;
492;492;
493;493;Loi EGalim
494;494;
495;495;
496;496;
497;497;
498;498;
499;499;
500;500;
501;501;Courrier à Madame la Ministre Elisabeth BORNE : La vente à la place pour les activités VTC est interdite. Or, les services occasionnels spécialisés dans l’organisation d’excursions touristiques fonctionnent uniquement à la place. Pour répondre à cette problématique, la loi a complété l’article L3120-2 du code des transports de la mention « sauf s'ils font l'objet d'une réservation préalable dans les conditions définies par un décret en Conseil d'Etat ». Il s’agit bien ici de traiter la question de la vente à la place. Monsieur André DORSO, que nous avons saisi à multiples reprises, nous a toujours garanti qu’un texte serait publié. A ce jour, il n’en est rien. 
502;502;
503;503;Personnes rencontrées : Benjamin MAURICE et Deniz BOY
504;504;Personne rencontrée : Karima DELLI 
505;505;Courrier à Madame la Ministre Elisabeth BORNE 
506;506;Personne rencontrée : Jimmy BRUN Conseiller technique transports Cabinet du Premier Ministre 
507;507;Personne rencontrée : Elisabeth BORNE 
508;508;Personne rencontrée : Madame la Ministre Elisabeth BORNE 
509;509;"Dans la perspective du Paquet Mobilité européen, L’OTRE a interpellé les députés français du Parlement européen afin de promouvoir la défense de : -	La réduction de sept à cinq jours de la période de cabotage.
-	Le maintien d’un nombre d’opérations limitées de cabotage par période.
-	L’obligation d’équiper tous les véhicules en transport international du tachygraphe nouvelle génération « géolocalisé », et ce dans des délais très courts.
-	L’instauration d’une période de carence entre deux périodes de cabotage d’une durée qui ne saurait être inférieure à quatorze jours, avec retour obligatoire au pays d’origine de l’immatriculation du véhicule. "
510;510;Réunion du 4 octobre 2018
511;511;Personne rencontrée : Marc PAPINUTTI 
512;512;Lettre ouverte à l'attention de Monsieur le Premier Ministre Edouard PHILIPPE 
513;513;Courrier à Madame la Ministre Muriel PENICAUD
514;514;Demande d'intégration 
515;515;Courrier aux députés français du Parlement européen
516;516;Personne rencontrée : Madame la Ministre Elisabeth BORNE 
517;517;Courrier à l'attention de Madame la Ministre Elisabeth BORNE 
518;518;Personne rencontrée : Jonathan GINDT Conseiller diplomatique 
519;519;Personne rencontrée : Madame la Ministre Elisabeth BORNE 
520;520;Courrier à Madame la Ministre Elisabeth BORNE 
521;521;Personne rencontrée : Madame la Ministre Elisabeth BORNE. Cette réunion rassemblait le président de la CPME François ASSELIN et les représentants des fédérations adhérentes de la CPME 
522;522;Courrier à Madame Barbara POMPILI 
523;523;Personne rencontrée : Elisabeth BORNE 
524;524;Réunion du 12 décembre 2018
525;525;Courrier à l'attention de Madame la Ministre Elisabeth BORNE 
526;526;
527;527;
528;528;
529;529;
530;530;
531;531;
532;532;
533;533;
534;534;
535;535;
536;536;
537;537;
538;538;Envisager les modalités de financement par la PIA du contrat de filière industrielle
539;539;audition demandée par un député dans le cadre d'une réflexion sur l'avenir de la robotique française
540;540;
541;541;
542;542;"Organisation de trois déjeuners parlementaires sur les thèmes ""alimentation"", ""travail"" et ""prévention"" "
543;543;
544;544;L'objectif était d'inviter les parlementaires à visiter les sites d'affinage de leur circonscription, pour découvrir les usines et leur présenter les enjeux de la filière française d'aluminium en matière de recyclage
545;545;
546;546;
547;547;L'objectif était d'organiser une visite du site d'aluminium de Neuf-Briscach (Haut-Rhin) pour sensibiliser les pouvoirs publics à la valeur ajoutée de l'aluminium pour réduire l'empreinte écologique des transports (via l'allègement ou le recyclage)
548;548;
549;549;
550;550;
551;551;
552;552;
553;553;
554;554;Admical a lancé une plateforme de concertation, disponible en ligne pendant six mois, pour la définition de sa contribution au débat public
555;555;La campagne est décrite sur http://www.republictech.fr 
556;556;Cette action de sensibilisation a été précédée d'une consultation d'associations d'élus locaux.
557;557;
558;558;
559;559;
560;560;
561;561;
562;562;
563;563;
564;564;
565;565;
566;566;
567;567;Admical a lancé en 2017 une grande consultation numérique participative sur l'avenir du mécénat (www.avenir-mecenat.fr). A sa suite ainsi qu'après l'organisation de débats publics sur ce même thème, un travail de synthèse a été réalisé. Celui-ci a abouti à un plaidoyer contenant diverses propositions pour améliorer le mécénat de demain qui ont été présentées à un ensemble d'acteurs publics. 
568;568;
569;569;
570;570;
571;571;
572;572;
573;573;Cette demande vise à encourager le développement de l’accompagnement du repreneur d’un fonds de commerce dans une halle ou un marché par le cédant. 
574;574;Par souci de clarification et pour sécuriser l’activité des commerçants non-sédentaires, Saveurs Commerce a demandé qu’une exclusion expresse de ces professionnels soit prévue dans l’ordonnance relative à la propriété des personnes publiques. 
575;575;Le but de cette conférence-débat organisée par Saveurs Commerce a été d’aborder la problématique des ventes au déballage et ses impacts sur les différents acteurs de la filière des fruits et légumes frais. Les intervenants ont présenté les spécificités de leur métier et les conséquences de ces ventes sur leur travail. Des demandes communes ont été exprimées. Des représentants de l’administration ont présenté les contrôles mis en place (méthodologie, fréquence, résultats). Il a été rappelé que cette situation crée une concurrence déloyale et qu'il est impératif de faire modifier le dispositif légal afin de mieux encadrer ces ventes. 
576;576;
577;577;Suite aux problèmes d’interprétation et d’application de la loi sur le terrain, Saveurs Commerce a souhaité voir simplifier la transmission des fonds de commerces pour les professionnels exerçant leur activité dans les halles et marchés. Saveurs Commerce a souhaité que la loi précise que le titulaire d’une autorisation d’occupation peut présenter au maire une personne comme successeur à condition d’avoir une ancienneté d’au moins trois ans dans la halle ou le marché considéré, ce qui serait en accord avec l’esprit de la loi. 
578;578;"
Suite aux consultations des Maires sur les dates des dimanches ""du maire"" et sur les arrêtés préfectoraux, Saveurs Commerce a fait part de la position de ses adhérents (suppression des arrêtés préfectoraux de fermeture hebdomadaire dans notre secteur d'activité, dates des dimanches choisis en fonction du secteur géographique et du calendrier etc).
"
579;579;Le but de ces échanges a été de faire part, suite à la publication de notre Livre Vert, des difficultés rencontrées par nos professionnels et demander des modifications législatives et réglementaires. Ont été notamment abordées les problématiques de la vente au déballage (les dérives, l'impact sur le terrain pour l'ensemble de la filière de fruits et légumes frais et pour les consommateurs), de la contractualisation en fruits et légumes (notamment les difficultés d'application pour les TPE/PME), mais également de la difficile mise en application du dispositif concernant la présentation d’un successeur sur les marchés (disposition issue de la loi Pinel de 2014). 
580;580;
581;581;Afin de mettre fin à des pratiques spéculatives sur le terrain dues à la rédaction souple de la loi, Saveurs Commerce a demandé une modification rédactionnelle afin de préciser, comme c’était l’esprit de la loi, qu’en cas de décès, ou de retraite d’un commerçant titulaire, son conjoint conserve, à titre exclusif, l’ancienneté, pour faire valoir son droit de présentation d’un successeur au maire. La rédaction de 2014 a abouti à des situations où un jeune commerçant se prévalant de l’ancienneté de son cédant accède à un rang plus favorable sur la liste d’attente et obtient ainsi un meilleur emplacement sur le marché par rapport à un commerçant qui n’aura que son ancienneté. 
582;582;Le but de cet échange qui a suivi l’envoi du Livre Vert de Saveurs Commerce « 17 propositions pour un commerce alimentaire durable »a été de faire connaître la problématique des ventes au déballage. Après avoir présenté le dispositif légal, nous avons exposé les dérives et les pratiques par lesquelles le consommateur se voit proposer des produits stockés dans des conditions impropres et sans comporter l’ensemble d’informations obligatoires. Nous avons rappelé que cette situation crée une concurrence déloyale pour les  commerçants respectueux de la réglementation. Nous avons demandé du soutien pour faire modifier le dispositif légal afin de mieux encadrer ces ventes. 
583;583;Le but de ces échanges a été de faire connaître, à travers notre Livre Vert , le métier de primeur, mais également de faire part des difficultés rencontrées par ces professionnels et des demandes d'adaptations législatives et réglementaires. Lors de cette rencontre ont été notamment abordées les problématiques de la vente au déballage (les dérives, l'impact sur le terrain pour l'ensemble de la filière de fruits et légumes et pour les consommateurs, les demandes de modifications législatives etc), de la contractualisation en fruits et légumes (notamment les difficultés d'application pour les TPE/PME), mais également de la professionnalisation  (formation initiale, CAP Primeur).
584;584;Le but de ce rendez-vous qui a suivi l’envoi du Livre Vert de Saveurs Commerce « 17 propositions pour un commerce alimentaire durable »a été d’échanger sur le métier de primeur sur marché et de la mise en place du CAP Primeur. Nous avons abordé la question de la nécessité de professionnaliser les primeurs. Nous avons également mentionné la nécessité de décaler  les horaires de fermeture de marché dans le contexte où les consommateurs arrivent de plus en plus tard. Le dispositif de la présentation du successeur sur marché (loi Pinel de 2014) et les conditions d’occupation du domaine public (ordonnance d’avril 2017) ont été également abordées. 
585;585;
586;586;
587;587;
588;588;
589;589;
590;590;
591;591;
592;592;
593;593;Echanges avec le SGDSN concernant l'expertise et le concours possible de la FFMI en cas de crise liée à des incendies
594;594;Mailing adressé à des sénateurs leur proposant de porter un amendement au projet de loi ESSOC en discussion
595;595;Le CSCEE est régulièrement consulté sur des sujets qui touchent la filière incendie sans que les acteurs de la filière y soient associés. La FFMI a donc émis le souhait d'intégrer le CSCEE afin d'apporter son expertise en matière de sécurité incendie.
596;596;Alerter la DGSCGC et la DHUP notamment des risques d'affaiblissement du niveau de sécurité incendie pour nos concitoyens dans le cadre du projet de loi ESSOC.
597;597;Echanges avec les représentants de la SGDSN concernant la normalisation française et son intérêt en termes de sécurité incendie au niveau français, européen et international.
598;598;La FFMI souhiate apporter son expertise et être associée aux discussions relatives à la sécurité incendie dans le cadre de la loi ELAN et tout particulièrement au regard de la création d'un nouveau type de bâtiments que sont les Immeubles de Moyenne Hauteur (IMH)
599;599;Interpellation du Ministre de l'Economie et des finances et du Ministre de l'Action et des comptes publics
600;600;Alerter le Premier Ministre et ses services quant aux risques d'affaiblissement du niveau de sécurité incendie pour nos concitoyens dans le cadre nouveau des constructions bâtimentaires issu de l'article 26 du projet de loi ESSOC
