civilite_dirigeant;fonction_dirigeant;nom_dirigeant;prenom_dirigeant;representants_id;nom_prenom_dirigeant
M;PRESIDENT;FARGUES;Yves;29;FARGUES Yves
M;SECRETAIRE GENERAL;BLOT;Claude;29;BLOT Claude
M;PRESIDENT;HEMAR;Eric;29;HEMAR Eric
M;VICE-PRESIDENT;SANCIER;Jean-Pierre;29;SANCIER Jean-Pierre
M;DELEGUE GENERAL;DEGOUY;Alexis;29;DEGOUY Alexis
MME;Présidente EDT Pays de la Loire;LEMAITRE;Marie Christine;30;LEMAITRE Marie Christine
MME;Présidente EDT Mayenne;LEMAITRE;Marie Christine;30;LEMAITRE Marie Christine
M;Président EDT Vendée;BRETIN;Patrick;30;BRETIN Patrick
MME;Présidente EDT Loire Atlantique;ROBERT;Marie Annick;30;ROBERT Marie Annick
M;Président EDT Maine et Loire;HORREAU;Philippe;30;HORREAU Philippe
M;Président EDT Sarthe;LEVEILLE;Michel;30;LEVEILLE Michel
M;Président;BEGUERIE;Pierre;31;BEGUERIE Pierre
M;Président;CHEMIN;Jean-Yves;32;CHEMIN Jean-Yves
M;Vice-President Government Affairs;FREEMAN;Gidon;33;FREEMAN Gidon
M;Directeur Universal Pictures International France;ALBERT;Xavier;33;ALBERT Xavier
MME;secrétaire générale;PATOUREL;Laurence;34;PATOUREL Laurence
M;Président;DE SURVILLE;Loic;34;DE SURVILLE Loic
M;Président;CANS;Denis;35;CANS Denis
MME;Déléguée Générale;ADAM;Béatrice;35;ADAM Béatrice
M;Directeur général;ABADIE;Jean-François;36;ABADIE Jean-François
M;Directeur général délégué;SALIBA;Joseph;36;SALIBA Joseph
MME;Directrice générale déléguée;DUVAUD;Catherine;36;DUVAUD Catherine
M;1er vice-président;DOISEAU;James;37;DOISEAU James
M;2ème vice-président;MONNIER;Bernard Henri;37;MONNIER Bernard Henri
M;Président;BIBANOW;Michel;37;BIBANOW Michel
M;3ème vice-président;LORENZO;Antonio;37;LORENZO Antonio
MME;4ème vice-présidente;FERTEUX;Géraldine;37;FERTEUX Géraldine
M;Secrétaire Général;GUINOISEAU;Eric;37;GUINOISEAU Eric
M;Président;RIBEMONT;Thomas;38;RIBEMONT Thomas
MME;Directrice Générale;ANDRIEUX;Véronique;38;ANDRIEUX Véronique
M;Directeur Général;DUNCAN;Matthieu;39;DUNCAN Matthieu
M;Directeur général délégué;KOBAR;Ibrahima;39;KOBAR Ibrahima
MME;Directeur général délégué;DERAMBURE;Valérie;39;DERAMBURE Valérie
M;Président;PAGLIA;Stéphane;40;PAGLIA Stéphane
M;Directeur Général;PHILIBERT;Sébastien;40;PHILIBERT Sébastien
MME;Directrice générale;CHAZEAU;Anne-Laure;41;CHAZEAU Anne-Laure
M;Président;JAYAT;Jean-Louis;41;JAYAT Jean-Louis
M;Président;PLAT;Eric;42;PLAT Eric
MME;Déléguée générale;BOUTHELIER;Alexandra;42;BOUTHELIER Alexandra
M;Président;GENET;Philippe;43;GENET Philippe
MME;;JOUVET;Alexandra;44;JOUVET Alexandra
M;Associé-gérant;BAILLET;Francis;45;BAILLET Francis
M;Président Compagnie Minière Montagne d'Or;PARIS;Pierre;46;PARIS Pierre
M;Directeur Administratif Compagnie Minière Montagne d'Or;BOUDRIE;Michel;46;BOUDRIE Michel
M;Président;BOUREL;Michel;47;BOUREL Michel
M;Président;NAPIAS;Gérard;48;NAPIAS Gérard
M;Directeur;DURAND;Patrice;48;DURAND Patrice
M;Président;LE LOUS;Hervé;49;LE LOUS Hervé
M;Président;DE BOTTON;Philippe;50;DE BOTTON Philippe
MME;Présidente;SIVIGNON;Françoise;50;SIVIGNON Françoise
M;Secrétaire Général;VOGLEY;Jean-Charles;51;VOGLEY Jean-Charles
M;Président;THUILLIER;Pierre;51;THUILLIER Pierre
M;Président;BERNHARDT;Christian;52;BERNHARDT Christian
MME;Directrice générale adjointe;VIO;Isabelle;52;VIO Isabelle
MME;Directrice Générale;JACGLIN;Christine;53;JACGLIN Christine
MME;Présidente;CURAT;Anne-Marie;54;CURAT Anne-Marie
M;Président;BENETTI;Jean;55;BENETTI Jean
M;Directeur Général;PATRY;Didier;56;PATRY Didier
MME;Directrice générale;COFFINIER;Anne;57;COFFINIER Anne
M;Président;BOL;Frédéric;58;BOL Frédéric
M;Délégué général;DEWACHTER;Arnaud;58;DEWACHTER Arnaud
M;Président;LESPARRE;François;59;LESPARRE François
MME;Secrétaire Générale;CAZAUBON;Marie-Hélène;59;CAZAUBON Marie-Hélène
M;Secrétaire Général Adjoint;LARRERE;Jean Michel;59;LARRERE Jean Michel
M;Secrétaire Général Adjoint;LAFARGUE;Denis;59;LAFARGUE Denis
M;Président;CHICHE;Thierry;60;CHICHE Thierry
M;Directeur Général;BODKIER;Michel;60;BODKIER Michel
M;Directeur General;DARD;Emmanuel;60;DARD Emmanuel
M;Directeur Général;PIC;François-Philippe;60;PIC François-Philippe
M;Directeur Général;CHICHE;Laurent;60;CHICHE Laurent
M;Directeur Général;SYLBERG;David;60;SYLBERG David
MME;Directeur Général;CUNIN;Michèle;60;CUNIN Michèle
M;Président;NIEDERMAIER;Jean-Louis;61;NIEDERMAIER Jean-Louis
M;Group Managing Director / Board Member;PALUS;Jean-François;62;PALUS Jean-François
M;Président Directeur Général;AGON;Jean Paul;63;AGON Jean Paul
M;Président;BERNIGAUD;Franck;64;BERNIGAUD Franck
MME;Vice Présidente;ARNOUT;Marie;64;ARNOUT Marie
M;Trésorier adjoint;ETELLIN;Laurent;64;ETELLIN Laurent
M;Trésorier;GUILLOUX;François Xavier;64;GUILLOUX François Xavier
M;Délégué Général;MARTIN SAINT LEON;Laurent;64;MARTIN SAINT LEON Laurent
M;Président;PATRY;Richard;65;PATRY Richard
M;Président délégué;DECRETTE;Jean-Pierre;65;DECRETTE Jean-Pierre
M;Président;JACQUES;Rouchausse;66;JACQUES Rouchausse
M;Directeur;RIVAL;Bertrand;66;RIVAL Bertrand
MME;Présidente;COMTE-ARASSUS;Laurence;67;COMTE-ARASSUS Laurence
M;Président;CLAUSSE;Pierre-Jean;68;CLAUSSE Pierre-Jean
M;Délégué général;MARTIN;Emmanuel;69;MARTIN Emmanuel
MME;Présidente;CHALMETTE;Julie;69;CHALMETTE Julie
M;Président Délégué Général;MASSÉ;Philippe;70;MASSÉ Philippe
M;PRESIDENT;MASSA;Max;71;MASSA Max
MME;SECRETAIRE GENERALE;CHARRIER-IZEL;Patricia;71;CHARRIER-IZEL Patricia
M;DIRECTEUR;SAVY;Yvan;72;SAVY Yvan
M;Président;MUNOZ;Cédric;73;MUNOZ Cédric
M;Secrétaire général;TOULIS;Rémi;73;TOULIS Rémi
M;Vice Président;NAUDI;Jean François;73;NAUDI Jean François
M;Vice Président;SAURAT;Laurent;73;SAURAT Laurent
M;Vice Président;VENTURIN;Joël;73;VENTURIN Joël
M;Trésorier;HATO;Jacques;73;HATO Jacques
MME;Directrice;GIRONCE;Estelle;73;GIRONCE Estelle
M;Président;VIDOR;Hugues;74;VIDOR Hugues
M;Délégué général;DARRIGRAND;Sébastien;74;DARRIGRAND Sébastien
MME;Co-gérant;BESLIN;Marie-Rose;75;BESLIN Marie-Rose
M;Co-Gérant;SANANES;Bernard;75;SANANES Bernard
M;Directeur général;DOMAS;Hervé;76;DOMAS Hervé
M;1er co-président;VALENTIN;Jérôme;77;VALENTIN Jérôme
M;Délégué général;CAILLET;Virgile;77;CAILLET Virgile
M;Président;REBIBO;Alexandre;78;REBIBO Alexandre
M;Vice-Président;LAZIOU;Julien;78;LAZIOU Julien
MME;Déléguée Générale;LEVAVASSEUR;Pauline;78;LEVAVASSEUR Pauline
M;Président;AMMEUX;Simon;79;AMMEUX Simon
M;Président;BAUMGARTEN;Didier;80;BAUMGARTEN Didier
M;Secrétaire Général;VOGLEY;Jean-Charles;80;VOGLEY Jean-Charles
MME;Présidente;ROSENTRAUB;Célia;81;ROSENTRAUB Célia
M;AVOCAT, ASSOCIE FONDATEUR;EMILE;Meunier;82;EMILE Meunier
M;PRESIDENT;BRAYOTEL;Damien;83;BRAYOTEL Damien
M;Président;ABOBI;Ghislain;84;ABOBI Ghislain
MME;Présidente;MESPLES;Aline;85;MESPLES Aline
M;Président;BRENIER;Jean Pierre;86;BRENIER Jean Pierre
MME;Directrice FRANCE;RODER;Friederike;87;RODER Friederike
M;Président;COLON;David;88;COLON David
M;Vice-président Trésorier;LAPLAUD;Christian;88;LAPLAUD Christian
M;Vice-Président Secrétaire;MOMOT;Antoine;88;MOMOT Antoine
MME;Présidente;AUZIMOUR;Catherine;89;AUZIMOUR Catherine
M;Directeur Général;PROST;Pierre-Louis;89;PROST Pierre-Louis
M;Président;DE ROYER;Gaëtan;90;DE ROYER Gaëtan
M;President;GAMBIA;Ruvie;91;GAMBIA Ruvie
M;Delegue General;PRADIER;Vincent;91;PRADIER Vincent
M;Directeur général;BOUDRE;Paul;92;BOUDRE Paul
M;Président;DEBIESSE;François;93;DEBIESSE François
MME;Déléguée générale;PARRIAUX;Sylvaine;93;PARRIAUX Sylvaine
M;PRESIDENT;SOCCOL;Brice;94;SOCCOL Brice
M;Président;DECAUX;Jean-Charles;95;DECAUX Jean-Charles
M;PRESIDENT;HUET;Roberto;96;HUET Roberto
MME;Présidente;TEYSSEDRE;Christel;97;TEYSSEDRE Christel
M;Président;VAN DE MAELE;Philippe;98;VAN DE MAELE Philippe
MME;Directrice;PERRISSIN-FABERT;Anne-Sophie;98;PERRISSIN-FABERT Anne-Sophie
M;Président;STALTER;Bernard;99;STALTER Bernard
M;Secrétaire général - Directeur des Services;KLEIN;Dominique;99;KLEIN Dominique
MME;Présidente, administrateur;BERTÉ;Audrey;100;BERTÉ Audrey
M;Administrateur;LE BIHAN;Yves;100;LE BIHAN Yves
M;Président;CHEMIN;Jean-Louis;101;CHEMIN Jean-Louis
M;Président;AUDIGE;Philippe;102;AUDIGE Philippe
M;Président;COUSIN;Régis;103;COUSIN Régis
MME;Déléguée Générale;BÉGUÉ;Caroline;103;BÉGUÉ Caroline
MME;PDG;DARRIEUTORT;Marion;104;DARRIEUTORT Marion
M;Directeur Général;RABY;Jean;105;RABY Jean
M;Président;ROQUEFEUL;Thierry;106;ROQUEFEUL Thierry
M;Directeur;BRACK;Vincent;106;BRACK Vincent
M;Président France;LELOUCHE;Erick;107;LELOUCHE Erick
M;Directeur Général Boehringer Ingelheim France;SCHEFTSIK DE SZOLNOK;Jean;107;SCHEFTSIK DE SZOLNOK Jean
M;Directeur General (CEO);MEEK;David;108;MEEK David
MME;Directeur general -pharmacien responsable;GREGOIRE;Sylvie;108;GREGOIRE Sylvie
M;Directeur general;GARNIER;François;108;GARNIER François
M;Directeur general;LE CHATELIER;Aymeric;108;LE CHATELIER Aymeric
M;Directeur general;HENNION;Benoit;108;HENNION Benoit
M;Directeur general;SEMERJIAN;Harout;108;SEMERJIAN Harout
M;Directeur general;VERON;Didier;108;VERON Didier
M;Directeur general;BARNSLEY;Jonathan;108;BARNSLEY Jonathan
M;TRESORIER;RAGUIN;Cedric;109;RAGUIN Cedric
M;PRESIDENT;BILLET;Maxime;109;BILLET Maxime
M;VICE PRESIDENT INSTALLATION;DEFOND;Jeremy;109;DEFOND Jeremy
M;ADMINISTRATEUR;BARILLET;Gaby;109;BARILLET Gaby
M;ADMINISTRATEUR;BARON;Pascal;109;BARON Pascal
M;ADMINISTRATEUR;MAUPOINT;Xavier;109;MAUPOINT Xavier
M;Président;DUHAUPAND;Didier;110;DUHAUPAND Didier
M;Délégué Général;VERITE;Hugues;111;VERITE Hugues
M;Président;DE MAISTRE;Hervé;111;DE MAISTRE Hervé
M;Directeur Général;MESSAGER;François;112;MESSAGER François
M;Président et Co-fondateur;LEANDRI;Eric;112;LEANDRI Eric
M;Président;JOUGLA;Philippe;113;JOUGLA Philippe
M;Secrétaire Général;VIGUIER;Laurent;113;VIGUIER Laurent
M;Secrétaire Général;MARLOT;Ludovic;113;MARLOT Ludovic
MME;Vice-PRésidente;BRUEL;Marie-Line;113;BRUEL Marie-Line
M;Vice-Président;HUC;Jean-Claude;113;HUC Jean-Claude
M;Vice-Président;ZANCHETTA;Arcangelo;113;ZANCHETTA Arcangelo
M;Vice-Président;CARCENAC;Cédric;113;CARCENAC Cédric
M;Trésorier;LANNES;Jean-Pierre;113;LANNES Jean-Pierre
M;Trésorier-adjoint;GLEIZES;Alexandre;113;GLEIZES Alexandre
M;Secrétaire général adjoint;VAUTE;Cédric;113;VAUTE Cédric
MME;Secrétaire général adjointe;GRANIER;Isabelle;113;GRANIER Isabelle
M;Membre;NOUVEL;Alain;113;NOUVEL Alain
M;Membre;BASCOUL;Eric;113;BASCOUL Eric
M;Membre;FLORENCHIE;Frederic;113;FLORENCHIE Frederic
M;Membre;ROUQUETTE;Francis;113;ROUQUETTE Francis
M;Membre;CAVAILLE;Patrick;113;CAVAILLE Patrick
M;Membre;VINCENS;Pierre;113;VINCENS Pierre
MME;Directeur associé;ROBIC;Khristelle;114;ROBIC Khristelle
M;Dirigeant;CAMBON;François;115;CAMBON François
MME;Directeur de la Communication et du Développement Durable;DE CHASSEY;Virginie;116;DE CHASSEY Virginie
M;Directeur des Ressources humaines;CARNEC;Michel;116;CARNEC Michel
M;Directeur Général Adjoint, en charge des Finances;DEVEDJIAN;Thomas;116;DEVEDJIAN Thomas
MME;Président Directeur Général;BORIES;Christel;116;BORIES Christel
M;Directeur de la Stratégie et de la Communication financière;GUNDERMAN;Philippe;116;GUNDERMAN Philippe
M;Directeur Juridique Groupe;DE L'HERMITE;Jean;116;DE L'HERMITE Jean
M;Directeur Général Adjoint, en charge des branches minières;SILVA;Kléber;116;SILVA Kléber
M;Directeur Général Adjoint, en charge de la branche Alliages;FABRE;Jérôme;116;FABRE Jérôme
M;Président;COUE;Thierry;117;COUE Thierry
M;Président;LOTTEAU;Laurent;118;LOTTEAU Laurent
MME;Présidente;DETRY;Elisabeth;119;DETRY Elisabeth
M;Secrétaire général;GRAVELINE;Michel;119;GRAVELINE Michel
M;Président;FENECH;Georges;120;FENECH Georges
MME;Présidente;BOUILHAGUET;Emmanuelle;121;BOUILHAGUET Emmanuelle
M;Président;LOPEZ;Jérôme;122;LOPEZ Jérôme
MME;Secrétaire Générale;PELLAT-FINET;Sylvie;122;PELLAT-FINET Sylvie
M;Président du Directoire;SAADA;Maxime;123;SAADA Maxime
M;PRESIDENT;TREMEAU;Jeremy;124;TREMEAU Jeremy
M;Président;ROBARDEY;Philippe;125;ROBARDEY Philippe
MME;Directeur général;DARRE;Pascale;125;DARRE Pascale
MME;1ère Vice-présidente;DEQUE;Anouk;125;DEQUE Anouk
MME;Trésorière;GOUDAL;Marie-Pascale;125;GOUDAL Marie-Pascale
M;Trésorier adjoint;FALCOU;Patrice;125;FALCOU Patrice
M;Vice-Président 2ème Secrétaire;COHADE;Patrice;125;COHADE Patrice
M;Vice-Président;DI CRESCENZO;Alain;125;DI CRESCENZO Alain
M;Vice-Président;DUMAS;Thierry;125;DUMAS Thierry
M;Vice-Président;PIEDRAFITA;Patrick;125;PIEDRAFITA Patrick
MME;Vice-Présidente 1ère Secrétaire;DORET;Sylvie;125;DORET Sylvie
M;Président;LABBEZ;Guillaume;126;LABBEZ Guillaume
MME;Président;SAMOJEDNIK;Anita;127;SAMOJEDNIK Anita
M;Directeur Général;SCHMITZ;Damien;127;SCHMITZ Damien
M;Président;VINCENT;Gilles;128;VINCENT Gilles
MME;Avocate;MONEL;Clémence;129;MONEL Clémence
MME;PRESIDENTE;DE VILLIERS DE LA NOUE;Juliette;130;DE VILLIERS DE LA NOUE Juliette
M;Président;BOISNON;Thierry;131;BOISNON Thierry
M;Président;SCELLES;Patrick;132;SCELLES Patrick
M;Vice-président;DUTHILLEUX;Didier;132;DUTHILLEUX Didier
M;Vice-président;DE MOL;Guy;132;DE MOL Guy
M;Trésorier;MURE;Frédéric;132;MURE Frédéric
M;Vice-Président;CRAYE;Etienne;133;CRAYE Etienne
M;Président;NICOLLE;Jean-Michel;133;NICOLLE Jean-Michel
MME;Vice-Présidente;DARMON;Florence;133;DARMON Florence
M;Vice-Président;BECARD;Francis;133;BECARD Francis
M;General Manager;BAKKER;Richard;134;BAKKER Richard
M;Directeur Général et Président du directoire d'Euronext;BOUJNAH;Stéphane;135;BOUJNAH Stéphane
M;Directeur Général et Président du conseil d'administration d'Euronext Paris;ATTIA;Anthony;135;ATTIA Anthony
M;Administrateur;GAYOU;David;136;GAYOU David
M;Administrateur;JOYARD;Nicolas;136;JOYARD Nicolas
M;Administrateur;MORLIER;Tangui;136;MORLIER Tangui
MME;Administrateur;VERGNOLLE;Suzanne;136;VERGNOLLE Suzanne
M;Administrateur;OOGHE-TABANOU;Benjamin;136;OOGHE-TABANOU Benjamin
M;Directeur Général Délégué;TREMBLAY;Marc;137;TREMBLAY Marc
M;Président du Conseil d'Administration;BOURRISSOUX;Louis;137;BOURRISSOUX Louis
M;Directeur Général;LEDEMAY;Alain;137;LEDEMAY Alain
MME;Présidente;PATY;Anne-Laure;138;PATY Anne-Laure
MME;Directrice;BERLINGEN;Flore;138;BERLINGEN Flore
M;Président;BETOUX;François-Xavier;139;BETOUX François-Xavier
MME;Directrice Générale;MORET;Isabelle;140;MORET Isabelle
M;PRESIDENT;THEVENET;Regis;141;THEVENET Regis
MME;Présidente;PAIRAULT-MEYZER;Michèle;142;PAIRAULT-MEYZER Michèle
M;Directeur;STOFER;Etienne;142;STOFER Etienne
M;Président;STAHN;Carsten;143;STAHN Carsten
M;TRESORIER;CAUQUY;Dominique;144;CAUQUY Dominique
M;PRESIDENT;FONTENAT;Patrice;144;FONTENAT Patrice
MME;Co-présidente;LEPAGE;Corinne;145;LEPAGE Corinne
MME;Co-présidente;MAESTRONI;Myriam;145;MAESTRONI Myriam
M;Trésorier;RIBAULT;Romuald;145;RIBAULT Romuald
M;Directeur général;DRIDA;Mathieu;146;DRIDA Mathieu
M;Président;TJARNSTROM;Erik Gustav Henrik;146;TJARNSTROM Erik Gustav Henrik
M;President;CACHAN;Eric;147;CACHAN Eric
M;Administrateur Directeur Général Délégué;BELLAFIORE;Jean-Marie;148;BELLAFIORE Jean-Marie
M;Administrateur Directeur Général;DAVID;Laurent;148;DAVID Laurent
MME;Présidente;FANDRE;Capucine;149;FANDRE Capucine
M;Directeur général;QUEMARD;Arnaud;150;QUEMARD Arnaud
M;Directeur général;LAMARQUE;Gilles;151;LAMARQUE Gilles
M;Directeur associé;DE ROMANCE;Timothé;151;DE ROMANCE Timothé
M;Président;RODRIGUEZ;Daniel;152;RODRIGUEZ Daniel
M;Président;RAVON;Dominique;153;RAVON Dominique
M;Délégué Général;REBOLLO;Hervé;154;REBOLLO Hervé
M;Président;VERNAZZA;Alexandre-Jacques;154;VERNAZZA Alexandre-Jacques
M;Directeur Général;MARQUET;Nicolas;155;MARQUET Nicolas
M;Président;ROTH;Guillaume;155;ROTH Guillaume
M;Associé;MORET-BAILLY;Joël;156;MORET-BAILLY Joël
M;President;DE DURAT;Guillaume;157;DE DURAT Guillaume
M;Président;MAILLARD;Philippe;158;MAILLARD Philippe
MME;Déléguée Générale;OLIVIER;Muriel;158;OLIVIER Muriel
MME;Présidente;AUTISSIER;Isabelle;159;AUTISSIER Isabelle
M;PRESIDENT;BOURY;Paul;160;BOURY Paul
M;DIRECTEUR GENERAL;TALLON;Pascal;160;TALLON Pascal
M;Président;ROGER;Stephane;161;ROGER Stephane
MME;Directeur général;DUFOURMENTELLE;Juliette;161;DUFOURMENTELLE Juliette
M;Directeur Général;LEROY;Thomas;162;LEROY Thomas
M;Président;QUINTANA;Philippe;162;QUINTANA Philippe
M;Président;GRANDJEAN;Olivier;163;GRANDJEAN Olivier
M;Président;PEUGEOT;Christian;164;PEUGEOT Christian
M;Président exécutif;LÉONARDUZZI;Clément;165;LÉONARDUZZI Clément
MME;Vice-présidente;GROS;Catherine;165;GROS Catherine
M;Directeur Général Délégué;DU SAILLANT;Paul;166;DU SAILLANT Paul
M;Directeur Général;VACHEROT;Laurent;166;VACHEROT Laurent
M;Président;STALTER;Bernard;167;STALTER Bernard
M;Secrétaire Général;GASSMANN;Claude;167;GASSMANN Claude
M;Directeur;VAUCELLE;Aurélien;168;VAUCELLE Aurélien
M;Président;JOUANNY;Philippe;169;JOUANNY Philippe
MME;Directeur général;SINTES;Carole;169;SINTES Carole
M;Directeur Général;LESIEUR;Jacques;170;LESIEUR Jacques
M;Président;SAVARINO;Jean-Pierre;170;SAVARINO Jean-Pierre
M;PDG;CHUPOT;Christophe;171;CHUPOT Christophe
MME;Présidente;FAYET;Véronique;172;FAYET Véronique
M;Secrétaire général;THIBAUD;Bernard;172;THIBAUD Bernard
M;Avocat - Gérant;CHARAT;Thomas;173;CHARAT Thomas
M;Directeur général;RIAHI;François;174;RIAHI François
M;Président;SAHUN;Carlos;175;SAHUN Carlos
M;Directeur;THEPOT;Yann;175;THEPOT Yann
MME;Présidente de la CSDEM;METZ;Juliette;176;METZ Juliette
MME;Président;BARREAU;Stéphanie;177;BARREAU Stéphanie
M;Directeur Général;KNOCHE;Philippe;178;KNOCHE Philippe
M;Président du Conseil d'administration;VARIN;Philippe;178;VARIN Philippe
M;PRESIDENT;PONCET;Sebastien;179;PONCET Sebastien
M;Président;VERSAVAU-MANDRON;Fabien;180;VERSAVAU-MANDRON Fabien
M;Président;CHAMBEAU;Frédéric;181;CHAMBEAU Frédéric
MME;Présidente;ARBIB;Sihame;182;ARBIB Sihame
M;Directeur des affaires publiques, communication, associé;MALACHE;Abdenabi;182;MALACHE Abdenabi
M;président directeur général;SIRET;Jean-Paul;183;SIRET Jean-Paul
M;directeur général délégué;BILLARD;Damien;183;BILLARD Damien
M;directeur général délégué;SIRET;Willy;183;SIRET Willy
M;Président;MILLET;Matthieu;184;MILLET Matthieu
M;Directeur général;DEMURGER;Pascal;185;DEMURGER Pascal
M;Executive Director;FOERSTER;Karl;186;FOERSTER Karl
M;Directeur général Région Ouest Europe;QUENET;Eric;186;QUENET Eric
M;Directeur Général;DESVEAUX;Benoît;187;DESVEAUX Benoît
M;Président Directeur Général;VAN ZYL;Johan;188;VAN ZYL Johan
M;Président;HEIMBURGER;Jean-Luc;189;HEIMBURGER Jean-Luc
M;Président;VUILLIER;Nicolas;190;VUILLIER Nicolas
M;Président du conseil d'administration;GIUSTRA;Robert;191;GIUSTRA Robert
M;Président directeur général;LEFRANÇOIS;Rock;191;LEFRANÇOIS Rock
MME;Présidente;GUIZOUARN;Kristell;192;GUIZOUARN Kristell
M;Président;PIC;Jean-Christophe;193;PIC Jean-Christophe
MME;Déléguée Générale;BERTHELOT;Florence;193;BERTHELOT Florence
M;Président;SHAPIRO;Maurice;194;SHAPIRO Maurice
M;Directeur Général;PAILLIART;Philippe;194;PAILLIART Philippe
MME;Déléguée aux affaires publiques et à la communication;SABOURIN;Florence;195;SABOURIN Florence
M;Président;DE LAIGUE;Bruno;195;DE LAIGUE Bruno
M;Président de la LNB;BÉRAL;Alain;196;BÉRAL Alain
M;Premier Vice-Président de la LNB;BELLON;Martial;196;BELLON Martial
M;DIRECTEUR GENERAL;DIXMIER;Stephan;197;DIXMIER Stephan
M;Gérant de Caritas Habitat (Bénévole);ROGER;Jean Marc;198;ROGER Jean Marc
M;PRESIDENT;DARRASON;Olivier;199;DARRASON Olivier
M;Gérant;TARAVELLA;Alain;200;TARAVELLA Alain
M;Président;BITTON;André;201;BITTON André
M;Président - Directeur Général;CAINE;Patrice;202;CAINE Patrice
M;PRESIDENT;LECCIA;Antoine;203;LECCIA Antoine
M;DELEGUE GENERAL;OZANAM;Nicolas;203;OZANAM Nicolas
M;directeur général;LHEUREUX;Benoit;204;LHEUREUX Benoit
M;Président;NEGRE;Stéphane;205;NEGRE Stéphane
MME;Présidente;ELGRICHI;Marine;206;ELGRICHI Marine
M;PRESIDENT;BOSSUYT;Stéphane;207;BOSSUYT Stéphane
M;président;GUYAU;Brice;208;GUYAU Brice
M;secretaire général;COUTAND;Eric;208;COUTAND Eric
M;PRESIDENT;PIGANIOL;Joel;209;PIGANIOL Joel
MME;DIRECTRICE;AMILHAUD - DELRIEU;Caroline;209;AMILHAUD - DELRIEU Caroline
M;Gérant;DARRIGADE;Cyrille;210;DARRIGADE Cyrille
MME;Déléguée générale;AUDUGÉ;Sophie;211;AUDUGÉ Sophie
M;Président;LABOREY;Bernard;212;LABOREY Bernard
M;Président;THIEULE;Laurent;213;THIEULE Laurent
M;Directeur;JAPPERT;Julian;213;JAPPERT Julian
